type,entry_date,entry_price,shares,exit_price,exit_date,profit,status
short,2020-03-13,269.05068,17.162919465291147,290.77048,2020-04-30,-372.775178202231,closed
long,2020-04-30,290.77048,29.682939313487058,334.55511,2020-09-30,1299.6565151534846,closed
short,2020-09-30,334.55511,37.948010316535616,343.07273000000004,2020-10-21,-323.22673163233094,closed
long,2020-10-21,343.07273000000004,54.9250294949751,428.71085999999997,2021-09-30,4703.676816144508,closed
short,2021-09-30,428.71085999999997,55.47380340351468,459.70925,2021-10-29,-1719.5985926854771,closed
long,2021-10-29,459.70925,64.70678775434604,434.03553000000005,2022-01-25,-1661.2639509045055,closed
short,2022-01-25,434.03553000000005,53.99873757830806,457.2568,2022-04-04,-1253.9192649650347,closed
long,2022-04-04,457.2568,35.1948648317068,414.06552,2022-05-02,-1520.1112615084016,closed
short,2022-05-02,414.06552,30.534277376778892,408.46806,2022-08-02,170.91439624542517,closed
long,2022-08-02,408.46806,39.79980901427988,385.17444,2022-09-16,-927.0816272512092,closed
short,2022-09-16,385.17444,32.94403984826215,398.90851,2022-11-11,-452.4557493588209,closed
long,2022-11-11,398.90851,26.89966785404091,380.43917999999996,2023-01-03,-496.81884248667376,closed
short,2023-01-03,380.43917999999996,44.34537705584858,400.99059,2023-01-30,-911.3600254793386,closed
long,2023-01-30,400.99059,49.16462403818547,391.33827,2023-03-14,-474.5526838962572,closed
short,2023-03-14,391.33827,49.26001873855973,412.87246,2023-04-14,-1060.774602919704,closed
long,2023-04-14,412.87246,54.944585937326,442.31723999999997,2023-08-28,1617.8312451156569,closed
short,2023-08-28,442.31723999999997,60.74173302191191,454.71425999999997,2023-11-20,-753.0164791073023,closed
long,2023-11-20,454.71425999999997,47.54439442627295,475.31,2023-12-29,979.2119860609686,closed
